Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,CLTV,Income per capita
1,0,0,0,-1.1145631287986442,1,0,2,1,1,1,1,1,1,0,0,3,-1.4527991880641573,-0.957157636650115,1,-1.5184585873537018,-0.31884062922583756
0,1,1,1,-0.30015585439803716,1,0,1,0,2,2,0,2,2,0,1,2,1.1213243651931677,0.10268071547070626,1,0.7918220601926973,-0.31884062922583756
1,0,1,0,1.4508197855632678,1,2,1,0,2,2,2,2,2,2,1,0,1.503537675231376,2.3530574985015806,1,0.5356877622759176,1.9021389542734577
1,0,1,1,0.9214550572028734,1,2,1,2,2,0,0,2,0,0,1,2,1.0631614701873533,1.3054481353436427,1,0.6371270881835531,0.666276411597916
0,1,1,1,0.18848851024232702,1,2,1,0,0,0,0,0,0,0,1,2,0.39013368512007346,0.2588100276268009,1,-1.3586916490491758,0.13183061516768074
0,0,1,1,-0.9109613101984924,1,2,1,2,0,0,0,2,2,0,1,2,1.1794872601989819,-0.5373986941984968,1,1.3505836804005897,0.13183061516768074
1,0,0,1,-1.1960038562387048,1,2,1,0,0,0,0,0,0,0,1,2,0.32033821111309646,-0.9060784300434129,1,0.012429906135697747,0.017009179456901086
0,1,0,1,-0.21871512695797646,1,2,1,0,0,2,0,0,0,0,1,2,0.44164939212522314,-0.06464010824528367,1,0.20093798678072042,-0.38787224767431233
0,0,1,0,-0.30015585439803716,0,1,0,2,2,2,0,2,2,0,1,1,-0.2047896409393986,-0.3440305654713106,1,-0.17776882994111887,0.18461609895617107
1,0,0,0,-1.2774445836787656,0,1,0,0,0,0,0,0,2,0,1,2,-0.9742016520163136,-0.9917696487327894,1,-1.7745928852704813,-1.384929619318896
1,0,0,0,-1.2367242199587352,1,0,0,0,0,0,0,0,0,0,0,2,-0.6784017859867437,-0.9715498763681658,1,-1.5471997296941984,0.2676390504570168
0,1,1,1,-1.2774445836787656,1,0,1,0,0,0,0,0,0,0,1,3,0.18905624809997262,-0.9763178576244527,1,-0.3688128937338324,0.636848359847268
0,0,0,0,-0.9924020376385531,1,2,0,2,0,0,2,0,2,0,0,2,0.21232140610229844,-0.7585800469206894,1,-1.4694295798316779,-1.384929619318896
1,0,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,0,0,1,2,-0.6351950639824246,-0.987266555324074,1,-1.5218398982172896,-0.10000924243565582
1,0,0,1,-1.0331224013585834,1,2,1,0,0,0,0,2,2,0,0,3,1.0049985751815391,-0.7180301322549542,1,-1.3646089430604544,0.09610068200088223
0,0,1,1,-0.5037576729981889,1,2,1,2,0,0,0,0,0,0,0,2,0.5862257311396761,-0.30442983225937326,1,1.114737247665337,0.9676682264822535
0,0,0,1,-1.1552834925186746,1,0,1,0,0,0,0,0,0,0,1,0,0.20401242110146783,-0.8868961350817778,1,-0.09577204149911347,0.5386199513514902
1,1,1,0,1.0436161483629645,0,1,0,0,2,2,0,0,2,0,1,2,-0.6468276429835875,0.1630309967424102,1,0.8822721257936723,1.3627788466471418
0,0,1,1,-1.2367242199587352,1,2,1,0,0,2,2,2,2,0,1,2,1.3174164112127704,-0.9002288234095427,1,0.2448950280073625,-1.384929619318896
0,0,1,0,0.8400143297628127,1,0,1,0,0,2,0,2,2,1,1,0,1.0000131841810405,1.2000669199847858,1,-0.061113605147338004,0.9202017618706975
0,1,0,1,-0.7073594915983407,1,2,1,0,0,0,0,0,0,0,1,3,0.32200000811326246,-0.5016167607890484,1,1.113046592233543,0.9202017618706975
0,1,0,1,-1.0331224013585834,1,0,1,2,0,0,0,0,0,0,0,0,0.3884718881199074,-0.7850909056651358,1,0.015811216999285598,0.9202017618706975
0,0,0,0,-1.2774445836787656,0,1,0,0,2,0,0,0,0,0,0,0,-1.156999322034587,-0.9941977873355281,1,0.11302390432743631,0.22618539013243016
1,0,0,1,-0.9924020376385531,1,2,1,0,0,0,0,0,2,0,0,0,0.6560212051466532,-0.7148735520713938,1,-1.9005467149391289,0.22618539013243016
0,0,0,1,-0.7888002190384014,1,0,1,0,2,2,0,0,0,0,1,2,0.4815325201292102,-0.5166491461387304,1,0.6269831555927896,0.22618539013243016
0,0,1,0,-1.2774445836787656,0,1,0,0,0,0,0,0,0,0,1,2,-1.328164413051698,-0.9964714080271831,1,0.38099279026677346,0.22618539013243016
1,0,1,1,-1.0738427650786138,1,0,1,0,2,2,0,0,2,0,1,2,0.8720548151682491,-0.7729943606260379,1,-1.7898087841566268,-1.384929619318896
1,0,0,1,-1.2774445836787656,1,0,1,0,0,0,0,0,2,0,0,2,0.50313588113137,-0.9721458740252016,1,-0.8506496917951012,0.623550811904932
0,0,0,1,-0.5444780367182193,1,0,1,2,0,2,2,2,2,0,1,2,1.3905354792200795,-0.15339961116902975,1,-0.537878436913225,0.49300358036669406
1,0,0,0,-1.2367242199587352,1,0,0,0,0,0,0,0,0,0,1,1,-0.6235624849812617,-0.9701150671938202,1,-1.465202941252193,-1.384929619318896
0,0,0,1,-1.1552834925186746,1,0,1,0,0,0,0,0,0,0,1,2,0.179085466098976,-0.8889490159004568,1,-1.8371471362468565,1.2548952620367113
1,0,1,0,-1.1552834925186746,1,0,0,0,0,0,2,0,0,0,0,3,-0.4889569279678058,-0.9282407132902275,1,-0.8506496917951012,-1.384929619318896
0,0,1,0,-1.2774445836787656,1,0,0,0,0,0,0,2,0,0,0,3,-0.31779183695069496,-0.983050423750228,1,-0.6443897291162423,-1.384929619318896
1,0,0,1,-1.2774445836787656,1,0,1,2,0,0,0,0,2,0,1,3,0.6593447991469852,-0.9700709192192251,1,-1.6198979132613371,0.4931770266442028
1,0,0,0,-1.2367242199587352,1,2,0,0,2,0,0,0,0,0,1,3,-0.34438058895335305,-0.9570472667136268,1,-1.5590343177167558,-1.384929619318896
0,1,0,1,-0.8702409464784621,1,0,1,0,2,0,0,2,2,0,1,2,1.0049985751815391,-0.5128303463362415,1,1.3353677815144445,-1.384929619318896
1,1,0,0,-0.7073594915983407,1,0,1,0,2,0,0,0,0,0,1,2,0.32033821111309646,-0.5331384146500555,1,0.18234077703098725,0.015621609236831242
1,0,0,0,-1.2774445836787656,1,0,0,2,0,0,0,0,0,0,1,3,-0.5388108379727895,-0.9859862640608118,1,1.0876867607566343,0.015621609236831242
0,0,1,0,-1.2367242199587352,1,0,1,0,0,0,0,0,0,0,0,2,0.1873944510998066,-0.9424563611098973,1,1.0876867607566343,-0.5979156897373851
1,1,1,0,-1.2774445836787656,0,1,0,0,2,0,0,2,0,0,0,2,-0.8163309370005319,-0.9896726199395152,1,1.206877968698106,-0.5979156897373851
0,0,1,0,-1.2367242199587352,1,0,0,0,0,0,0,0,0,0,1,1,-0.6700928009859131,-0.9718589121903324,1,0.40888860489137324,-0.5690657922450996
1,1,0,0,-1.1960038562387048,0,1,0,0,0,2,0,0,2,0,1,2,-0.7847567939973756,-0.949056483311887,1,-1.763603624963821,-0.5690657922450996
1,1,0,0,-0.7888002190384014,1,2,1,0,2,2,0,2,2,0,1,2,1.4005062612210766,-0.4051092883238363,1,-1.6114446361023675,0.028514449198313547
1,0,0,0,1.0843365120829946,1,0,2,1,1,1,1,1,1,2,0,3,-1.5093002860698053,-0.5219689770774578,1,0.5779541480707658,-0.3903004955594346
0,1,0,0,-0.6666391278783103,1,0,1,0,0,0,2,2,2,0,1,2,0.9867188081797118,-0.34025591364341695,1,-0.4989933619819647,-0.3903004955594346
1,0,0,0,-1.2774445836787656,0,1,0,0,0,0,0,0,0,0,0,0,-1.328164413051698,-0.9964714080271831,1,0.5804901312184567,-0.4804925598639745
1,0,0,0,-1.2774445836787656,1,0,1,0,0,0,0,0,0,0,0,3,0.19404163910047073,-0.9762516356625597,1,-0.897988043885331,-0.4804925598639745
1,0,1,0,-1.1145631287986442,1,2,1,0,2,0,2,0,0,0,1,2,0.6859335511496436,-0.830342579625265,1,-0.6122672759121577,-0.4754048023903851
0,0,1,0,0.7992939660427822,1,2,1,0,2,2,0,2,2,0,1,2,1.3390197722149297,1.4758372432940026,1,0.37084885767600995,0.5777609946426271
1,0,1,0,-0.5851984004382496,1,0,1,0,0,2,0,2,2,0,0,3,1.0099839661820376,-0.22160823191868792,1,0.20516462536020524,-0.023577249480141872
1,0,1,0,-1.2774445836787656,1,0,1,0,0,0,0,0,0,0,0,2,0.17410007509847744,-0.9765165235101312,1,-0.25892029066722727,-0.022016232982563295
1,1,0,0,-0.9924020376385531,1,0,1,0,2,0,0,0,0,0,1,2,0.3236618051134285,-0.739640565819328,1,-0.04674303397708964,0.694548154831839
1,0,0,0,-0.9109613101984924,1,0,0,0,0,0,0,0,0,0,1,1,-0.6617838159850825,-0.8151998243390949,1,-0.28681610529182705,0.5235301252082306
1,1,0,0,-0.3408762181180675,1,2,1,0,0,0,0,0,0,0,1,2,0.37683930911874425,-0.2512977448339922,1,-2.013820628869322,-0.5270917930879868
0,0,0,0,-1.2774445836787656,1,0,1,2,0,0,0,0,0,0,1,3,0.2937494591104381,-0.9749271964247023,1,-1.5514263682736833,-1.384929619318896
0,1,0,0,-1.1552834925186746,1,2,1,0,0,0,0,2,2,0,1,2,1.0199547481830342,-0.8325499783550275,1,-0.6114219481962607,4.307723192467879
1,1,1,0,-0.015113308357824713,1,2,1,0,0,0,0,0,0,0,1,2,0.33695618111475767,0.009462267112840058,1,-0.2496216857923607,-1.384929619318896
1,0,0,0,-1.1145631287986442,1,0,1,0,0,0,0,2,0,0,1,2,0.5264010391336954,-0.8239631972962517,1,1.1113559368017492,-0.22477493139026936
0,0,1,0,0.22920887396235737,1,0,0,2,2,0,2,2,2,1,0,1,0.5164302571326987,0.3429119192307483,1,-1.9690182599267827,1.0957872101353692
1,1,1,0,-0.3408762181180675,1,0,1,0,0,2,0,2,2,0,1,2,0.9435120861753926,-0.022456718519524126,1,-1.849827051985311,3.613475559026266
0,1,0,0,0.880734693482843,1,2,0,2,2,0,2,2,2,1,0,0,0.5878875281398422,0.9130609371410787,1,-0.21242726629289432,-0.2845560817049452
0,1,0,0,-1.2367242199587352,1,0,1,0,0,0,0,0,0,0,1,2,0.1857326540996401,-0.9460323470521124,1,-1.4618216303886051,-0.2120555377062958
0,0,0,0,-1.0331224013585834,1,2,1,0,0,0,0,0,0,0,1,2,0.3020584441112687,-0.7817135856085994,1,-1.6291965181362038,0.09581160487170101
0,0,0,0,-1.2367242199587352,1,2,1,0,0,2,0,0,0,0,0,3,0.5264010391336954,-0.9386375613074083,1,-1.4516776977978416,-1.384929619318896
1,0,1,0,1.4508197855632678,1,2,0,0,2,2,2,0,2,1,1,0,0.36686852711774764,1.3297515953583268,1,0.42494983149341553,-1.384929619318896
0,0,0,0,0.43281069256250915,1,2,1,0,2,2,0,2,2,2,1,2,1.3240635992134344,1.0939572630451075,1,0.7182785489096616,-1.384929619318896
1,0,1,0,1.247217966963116,1,2,1,0,2,2,0,2,2,0,1,2,1.284180471209448,1.907670656797421,1,-0.0408257399658109,-1.384929619318896
0,0,0,0,-1.2367242199587352,1,0,1,0,0,0,0,2,2,0,1,2,0.8521132511662559,-0.9331632124575977,1,-0.20566464456571862,0.3696832770579866
1,0,1,0,-1.1552834925186746,1,2,1,0,2,2,0,0,0,0,1,0,0.6659919871476498,-0.8432337882070774,1,0.4553816292657062,0.48780019204143216
0,1,0,0,-0.46303730927815856,0,1,0,2,0,0,0,2,0,0,1,2,-0.7598298389948839,-0.6365329711521264,1,0.3192838670062952,0.48780019204143216
0,0,0,0,-0.9109613101984924,1,0,1,0,0,0,0,0,2,0,1,0,0.5147684601325326,-0.6339282406510067,1,-0.6782028377521208,0.48780019204143216
1,1,1,0,-0.21871512695797646,0,1,0,2,0,0,0,0,0,0,0,1,-1.1304105700319294,-0.6519847622604631,1,-1.2454177351189828,0.48780019204143216
1,0,0,0,-1.1145631287986442,1,0,1,0,0,2,0,2,2,0,0,0,1.0548524851865226,-0.7899692568579108,1,0.8307071351239577,0.48780019204143216
1,0,0,0,-1.2367242199587352,1,2,1,0,0,0,0,2,0,0,1,2,0.6942425361504742,-0.9272915318364296,1,-0.4415110773009712,0.48780019204143216
0,0,1,0,-0.30015585439803716,1,2,1,0,0,2,2,2,2,0,1,0,1.3356961782145975,0.1256376622602352,1,-0.6410084182526544,0.48780019204143216
1,0,0,0,-1.2774445836787656,1,0,0,0,2,0,0,0,0,0,0,3,-0.4690153639658123,-0.9850591565943116,1,-1.6647002822038761,0.48780019204143216
1,0,0,0,-1.2774445836787656,1,2,1,0,2,0,0,0,2,0,1,1,0.8670694241677506,-0.967311670807022,1,-0.8252898603181923,-0.27044911780090175
1,1,1,0,-0.8702409464784621,1,0,2,1,1,1,1,1,1,0,0,3,-1.4893587220678117,-0.9126123302835097,1,1.2575976316519237,3.238079999071537
0,1,1,0,0.9214550572028734,1,2,1,0,2,2,0,0,0,0,1,2,0.6875953481498096,1.1446612118677495,1,0.9313011333156962,0.8049756181790642
0,0,0,0,0.06632741908223598,1,0,1,0,2,0,0,0,0,0,1,1,0.30538203811160125,0.10707343894293335,1,1.1789821540735062,-0.6293672813923016
1,0,1,0,1.4915401492832983,1,2,1,0,0,2,0,2,2,0,1,1,1.1528985081963241,2.0862933620097945,1,-0.3214745416436025,-0.6420288596504389
0,0,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,1,3,-1.491020519067978,-0.9986346587823504,1,-0.8869987835786706,-0.5506226714033379
1,0,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,1,3,-1.5009913010689746,-0.9987671027061362,1,-0.8050019951366651,-1.384929619318896
1,1,0,0,-1.1960038562387048,1,2,1,0,2,0,0,0,0,0,1,2,0.5513279941361872,-0.9042462890977103,1,-1.3375584561517517,-1.0799807103599837
0,0,1,0,-0.4223169455581282,1,0,1,0,2,0,0,0,2,0,0,2,0.6161380771426661,-0.19249264267312186,1,-0.5040653282773464,-0.6811699029415758
0,1,0,0,-1.2774445836787656,1,0,1,0,0,2,0,0,0,0,1,0,0.3502505571160864,-0.9741766808565829,1,0.42410450377751857,-0.8501643926609156
0,0,1,0,1.1657772395230555,1,0,2,1,1,1,1,1,1,0,1,3,-1.5076384890696393,-0.48534823215069955,1,-0.151563670748313,-0.8876866040286376
1,0,0,0,-0.8295205827584317,1,0,0,0,0,0,0,0,0,0,1,0,-0.6435040489832552,-0.7783362655520628,1,-1.2792308437548612,-0.10457666107671906
0,0,0,0,1.125056875803025,1,2,1,0,2,2,0,2,2,0,1,2,1.3672703212177542,1.816483015270936,1,-0.2496216857923607,-0.03456218038902814
0,0,0,0,-1.2774445836787656,1,0,1,0,0,0,0,0,0,0,0,3,0.15914390209698223,-0.9767151893958097,1,-1.3595369767650727,-1.384929619318896
0,0,1,0,-0.1779947632379461,1,0,1,0,0,0,0,0,2,0,1,2,0.5413572121351905,-0.024200563516036545,1,0.6768574908307105,-1.384929619318896
1,0,1,0,-1.1552834925186746,1,2,1,0,0,2,0,2,2,0,0,2,1.2093996062019723,-0.8370530717637427,1,0.014120561567491672,-0.4259726133003968
1,0,0,0,-1.0331224013585834,1,2,1,0,2,0,0,2,2,0,1,2,1.1645310871974868,-0.7101938667642976,1,-2.0028313685626613,0.09107073995312905
0,0,1,0,-0.7888002190384014,1,0,0,0,0,0,0,0,2,0,0,2,-0.2928648819482031,-0.6832194542866011,1,0.08259210655514565,-0.17326138697017637
1,0,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,2,0,1,2,-0.3244390249513595,-0.9831387196994184,1,0.4029713108800945,0.3696254616321504
0,0,1,0,-1.2774445836787656,1,0,1,0,2,0,0,0,0,0,1,2,0.3303089931140931,-0.9744415687041545,1,1.3353677815144445,-0.5287684404372378
1,0,0,0,-0.3408762181180675,1,2,1,0,2,0,0,0,0,0,1,2,0.5147684601325326,-0.1856055586362632,1,0.014965889283388635,0.16773399461198796
1,0,0,0,-1.1145631287986442,1,0,1,0,0,0,2,2,2,0,1,2,1.0415581091851935,-0.8072531889119503,1,-0.17607817450932492,-0.7899785343653861
0,0,0,0,-0.7073594915983407,1,0,1,0,0,0,0,0,0,0,0,0,0.14086413509515497,-0.5682360544532776,1,1.074161517302283,-0.548020977240707
0,0,1,0,0.6364125111626608,0,1,0,2,0,2,0,0,2,0,1,0,-0.6468276429835875,-0.060446050658735116,1,0.44439236895904566,0.2206351092521508
0,0,1,0,-0.9924020376385531,1,0,1,0,2,0,0,2,0,0,1,2,0.6244470621434968,-0.7071918044918207,1,-1.2859934654820369,-0.6124273616222822
1,0,0,0,-1.2774445836787656,1,2,1,0,0,0,0,0,0,0,1,2,0.31867641411292996,-0.9745960866152379,1,-1.3409397670153396,-0.6124273616222822
0,0,1,0,-1.2367242199587352,1,0,1,2,0,0,0,0,0,0,1,2,0.32033821111309646,-0.945877829141029,1,-0.11605990668064058,-0.18152899286475918
1,0,0,0,-0.4223169455581282,0,1,0,0,2,2,0,0,2,1,1,0,-0.6983433499887373,-0.6084990072841439,1,-1.100021367984705,-0.18152899286475918
0,1,0,0,-1.1145631287986442,0,1,0,0,2,0,0,0,0,0,0,2,-1.2068532320395708,-0.9495641850197322,1,-0.2546936520877425,-0.18152899286475918
0,0,0,0,-0.8295205827584317,1,2,1,2,2,2,0,0,2,0,1,0,1.1612074931971548,-0.46066951435195586,1,-1.5742502166029013,-1.384929619318896
0,1,0,0,-0.5037576729981889,1,2,1,0,2,2,0,0,2,0,1,2,0.9750862291785486,-0.22052660654110434,1,-1.46604826896809,-0.4086279855495238
1,0,1,0,-1.2367242199587352,1,0,1,0,0,0,2,2,2,0,1,2,0.9784098231788811,-0.9334722482797644,1,-0.5792994949921761,-0.4941948157871642
0,0,1,0,-1.0738427650786138,1,2,1,0,0,0,2,0,0,0,1,2,0.5230774451333633,-0.7854220154746002,1,0.5339971068441237,-1.384929619318896
0,1,1,0,-1.1145631287986442,1,2,1,0,0,0,0,0,0,0,1,2,0.31867641411292996,-0.8596126867819145,1,0.7377210863752918,-0.4323323101423836
1,0,0,0,0.3106496014024181,1,2,1,0,0,2,2,2,2,0,0,0,1.330710787214099,0.816752130561545,1,-0.7678075756371988,0.19467598305167746
0,1,1,0,-0.21871512695797646,1,0,1,2,0,0,0,0,0,0,1,0,0.3469269631157543,-0.15565115787338749,1,0.09865333315718794,-0.6842919359367329
0,0,0,0,-0.38159658183809786,1,2,1,0,0,0,0,0,0,0,0,0,0.36022133911708304,-0.23103382449477344,1,-1.9318238404273165,-1.384929619318896
1,0,1,0,0.06632741908223598,1,2,1,0,0,2,0,2,2,0,1,2,1.1728400721983174,0.5289294101878257,1,-1.5488903851259923,-1.384929619318896
0,0,0,0,-1.2774445836787656,1,2,1,0,0,0,0,0,2,0,1,2,0.6726391751483144,-0.969894327320844,1,1.0809241390294586,1.0467019136003983
1,0,0,0,-0.9109613101984924,1,2,1,0,0,0,0,2,0,0,1,0,0.7075369121518029,-0.6391818496278412,1,-1.2124499541990013,0.7752006738733987
1,0,0,0,-0.7888002190384014,0,1,0,2,0,0,2,2,0,0,1,1,-0.6385186579827569,-0.7438566973931742,1,0.3852194288462583,1.0018371431514734
1,0,1,0,0.26992923768238775,1,0,1,0,2,0,0,2,0,0,1,3,0.7158458971526335,0.434452744553995,1,-0.87600952327201,1.0018371431514734
1,0,0,0,-0.015113308357824713,1,2,1,0,2,0,0,0,0,0,1,0,0.5180920541328647,0.13872753672772628,1,1.3302958152190625,4.605010112117843
0,0,0,0,0.10704778280226633,1,2,1,0,0,2,0,2,2,0,1,2,1.1794872601989819,0.5499438460951638,1,-1.400112707128127,-0.520732096246
1,0,1,0,0.9621754209229036,1,2,1,0,2,0,0,2,2,1,0,1,1.1811490571991479,1.4712458539360966,1,0.6506523316379046,-0.520732096246
0,0,1,0,-0.8295205827584317,1,0,2,1,1,1,1,1,1,0,0,3,-1.5209328650709681,-0.904312511059603,1,-0.7314584838536294,-0.0787331657279182
0,0,0,0,-1.2774445836787656,1,0,1,2,0,0,0,0,0,0,0,3,0.3502505571160864,-0.9741766808565829,1,-0.9774488491796456,-0.0787331657279182
0,1,0,0,-1.1552834925186746,1,2,1,0,0,2,0,2,0,0,1,2,0.8122301231622688,-0.8545798176780561,1,1.1899714143801667,-0.0787331657279182
0,1,0,0,-1.2774445836787656,1,2,1,0,0,0,0,2,0,0,1,2,0.6959043331506402,-0.9695852914986773,1,0.4055072940277854,0.5719794520590027
0,0,0,0,-0.8295205827584317,1,2,0,2,0,2,2,0,0,0,1,3,-0.10342002392926519,-0.6923139370532222,1,1.0733161895863859,0.1358776949762178
0,1,1,0,1.3286586944031769,1,2,1,2,0,2,0,2,2,0,0,0,1.3456669602155942,1.9886380422051058,1,-0.17269686364573708,1.3008585255765248
1,0,1,0,-0.9516816739185228,0,1,0,0,2,0,0,0,0,0,1,2,-1.156999322034587,-0.8975137229719349,1,-1.5446637465465076,-1.384929619318896
0,0,1,0,-0.9516816739185228,1,0,0,2,2,2,2,0,0,0,0,3,0.00792037508186511,-0.7146969601730129,1,-0.3527516671317901,-1.384929619318896
0,0,0,0,-1.0331224013585834,1,0,2,1,1,1,1,1,1,0,0,0,-1.4876969250676457,-0.9466724926837435,1,0.06653087995310336,-0.1734348332476851
1,1,1,0,0.6771328748826912,1,2,1,0,2,0,0,0,2,0,0,1,0.8404806721650927,1.00009866905561,1,0.5568209551733417,2.302279516486099
1,1,1,0,0.43281069256250915,1,2,1,0,2,2,2,2,2,0,1,0,1.5284646302338678,1.0621927953238262,1,-1.4136379505824783,0.7134537990802906
0,0,1,0,1.3286586944031769,1,2,1,0,2,2,0,2,2,0,1,2,1.3539759452164248,2.0766028815861373,1,1.115582575381234,0.7134537990802906
1,1,1,0,0.9621754209229036,1,2,1,2,0,2,0,2,2,1,1,0,1.3224018022132684,1.5508005041567334,1,1.5788221636927695,-0.8922540226697009
1,0,1,0,-0.9109613101984924,1,2,1,0,0,0,0,0,2,0,1,2,0.6809481601491449,-0.6298224790136486,1,-0.6993360306495449,-0.7840813609300893
0,0,1,0,0.43281069256250915,1,0,0,0,0,0,0,2,0,0,0,2,-0.28621769394753876,0.09597022333222864,1,-1.9005467149391289,-1.0302594441408142
1,0,0,0,-1.2774445836787656,1,0,1,0,0,0,0,2,2,0,1,2,0.8238627021634315,-0.9678855944767601,1,0.5035653090718331,-0.5071454711744827
1,1,1,0,-0.5037576729981889,1,2,1,0,0,0,0,2,2,0,1,2,0.9900424021800438,-0.16876310632817604,1,1.0175245603371863,1.2499809508406305
1,0,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,0,0,1,3,-0.6335332669822583,-0.9872444813367766,1,-1.779664851565863,-0.3535298847275837
0,1,0,0,-1.2367242199587352,1,2,1,0,2,0,0,0,2,0,0,2,0.8222009051632655,-0.9361211267554792,1,-1.9740902262221647,-0.8612649544214743
0,0,0,0,-1.1960038562387048,1,0,1,0,0,0,0,0,0,0,1,0,0.15914390209698223,-0.9092791582015683,1,-1.2885294486297278,-1.009330259988094
0,0,0,0,-1.2774445836787656,1,0,1,0,0,2,0,0,0,0,1,3,0.32698539911376057,-0.9744857166787498,1,-0.45672697618711655,-0.34659203362723445
0,1,0,0,-0.9924020376385531,1,0,2,1,1,1,1,1,1,0,0,2,-1.4993295040688086,-0.9348849834668123,1,0.8721281932029088,-0.076073656139451
1,0,1,0,-1.2367242199587352,1,0,2,1,1,1,1,1,1,1,0,3,-1.4926823160681442,-0.9915709828471106,1,-1.7230278946007667,-0.889421066803725
0,0,0,0,-1.1552834925186746,0,1,0,0,0,0,0,0,0,0,1,3,-1.3464441800535252,-0.965015976128069,1,-1.9969140745513825,0.33268140452279077
0,0,0,0,-1.2367242199587352,1,0,1,0,0,0,0,0,0,0,0,2,0.16246749609731476,-0.9433393206018023,1,-1.7559956755207482,-0.4427969022187437
